bank_ref,utr,credit_amount,date,description,balance
BKREF241756,UTR832947977044,41884.97,2026-08-30T07:07:54.072783,Settlement for pay_610877,1000000.0
BKREF241756_DUP,UTR832947977044,41884.97,2026-08-30T07:08:54.072783,Settlement for pay_610877 (Duplicate),1041884.97
BKREF487912,UTR832942262045,7902.47,2026-08-30T04:52:54.072783,Settlement for pay_936945,1000000.0
BKREF801207,UTR832966760046,5252.5,2026-09-03T11:08:54.072783,Settlement for pay_864840,1000000.0
BKREF140227,UTR832983736047,47328.7,2026-08-29T13:35:54.072783,Settlement for pay_957115,1000000.0
BKREF261157,UTR832934953048,38314.82,2026-08-30T09:48:54.072783,Settlement for pay_503706,1000000.0
BKREF794271,UTR832925790049,1119.35,2026-08-31T05:05:54.072783,Settlement for pay_261555,1000000.0
BKREF788698,UTR832928811051,48283.66,2026-08-30T08:28:54.072783,Settlement for pay_750701,1000000.0
BKREF271367,UTR832933792052,22530.53,2026-09-03T16:19:54.072783,Settlement for pay_205458,1000000.0
BKREF504957,UTR832950409053,4345.18,2026-09-03T16:32:54.072783,Settlement for pay_583555,1000000.0
BKREF628815,UTR832993929054,14323.72,2026-08-29T20:14:54.072783,Settlement for pay_653759,1000000.0
BKREF628815_DUP,UTR832993929054,14323.72,2026-08-29T20:15:54.072783,Settlement for pay_653759 (Duplicate),1014323.72
BKREF165715,UTR832983408055,36150.06,2026-08-29T23:02:54.072783,Settlement for pay_750363,1000000.0
BKREF811577,UTR832933031056,41289.6,2026-08-30T03:33:54.072783,Settlement for pay_302623,1000000.0
BKREF443298,UTR832921970057,8530.18,2026-08-30T13:41:54.072783,Settlement for pay_475158,1000000.0
BKREF411657,UTR832981299058,8377.41,2026-08-31T05:30:54.072783,Settlement for pay_683705,1000000.0
BKREF123086,UTR832962485059,18777.07,2026-08-31T20:56:54.072783,Settlement for pay_498857,1000000.0
BKREF123086_DUP,UTR832962485059,18777.07,2026-08-31T20:57:54.072783,Settlement for pay_498857 (Duplicate),1018777.07
BKREF969599,UTR832920836060,39035.95,2026-08-29T11:42:54.072783,Settlement for pay_899750,1000000.0
