ledger_id,reference,amount,date,description,account,type,txn_id
LDG3137,UTR832970543050,11775.94,2026-08-29T09:26:54.072783,Invoice 5448,Sales,credit,pay_518902
LDG9482,UTR832928811051,48283.66,2026-08-29T14:28:54.072783,Invoice 6250,Sales,credit,pay_750701
LDG5676,UTR832933792052,22530.53,2026-08-29T16:19:54.072783,Invoice 2103,Sales,credit,pay_205458
LDG6379,UTR832950409053,4345.18,2026-08-29T16:32:54.072783,Invoice 7824,Sales,credit,pay_583555
LDG6877,UTR832993929054,14616.04,2026-08-29T18:14:54.072783,Invoice 5761,Sales,credit,pay_653759
LDG4838,UTR832983408055,36887.82,2026-08-29T06:02:54.072783,Invoice 1136,Sales,credit,pay_750363
LDG6737,UTR832933031056,42132.24,2026-08-29T11:33:54.072783,Invoice 2474,Sales,credit,pay_302623
LDG6203,UTR832981299058,8377.41,2026-08-29T17:30:54.072783,Invoice 9272,Sales,credit,pay_683705
LDG5669,UTR832962485059,19160.28,2026-08-29T20:56:54.072783,Invoice 9255,Sales,credit,pay_498857
LDG1755,UTR832920836060,39832.6,2026-08-29T05:42:54.072783,Invoice 9623,Sales,credit,pay_899750
