txn_id,utr,amount,fee,net_amount,date,description,status,payment_method,fixture_type
pay_zv4u3bbxux1oxr,RAZORPAY4384249818299229,427588.84,10091.1,417497.74,2024-01-05,Payment for NextGen Solutions - order_WK8R2YKCCPRH,captured,netbanking,clean
pay_8637zgf9q5rdoq,RAZORPAY1537147321046963,272040.66,6420.16,265620.5,2024-01-25,Payment for CloudBiz - order_IVBKV4YKADEJ,captured,upi,clean
pay_71hssbelrqvslw,RAZORPAY4168784991216558,12469.4,294.28,12175.12,2024-01-19,Payment for PrimeServices - order_F90KM3TZK3NY,captured,wallet,clean
pay_ppohswq40zsu9r,RAZORPAY9309728962309130,394796.15,9317.19,385478.96,2024-01-18,Payment for Smart Retail - order_N8QTTY5Y2JR8,captured,netbanking,clean
pay_8c7x0h3jujd0ib,RAZORPAY5758441986652404,1806.72,42.64,1764.08,2024-01-29,Payment for GreenLeaf Organics - order_6IIDLRYE89FX,captured,card,clean
pay_ud9k9tr74qgefq,RAZORPAY1938026206724004,1667.86,39.36,1628.5,2024-01-04,Payment for Sunrise Traders - order_JG02U1G463SD,captured,wallet,clean
pay_y751yw7nh8rq9n,RAZORPAY7454990453017426,1051.4,24.81,1026.59,2024-01-19,Payment for GreenLeaf Organics - order_Z61231YV2STN,captured,card,clean
pay_uylajahcpztc69,RAZORPAY7139718707286790,2158.04,50.93,2107.11,2024-01-22,Payment for TechSolutions Ltd - order_QKGEX08N6Q7N,captured,upi,clean
pay_70e3p15ahdbvzb,RAZORPAY3004786863375243,6002.04,141.65,5860.39,2024-01-27,Payment for Sunrise Traders - order_0OIH5CSK30LV,captured,netbanking,clean
pay_kgtii4fqcootnj,RAZORPAY4089268705685662,13872.91,327.4,13545.51,2024-01-24,Payment for NextGen Solutions - order_LCQNT3BNVBC2,captured,card,clean
pay_lm5q201lhlb50a,RAZORPAY3317393638546785,2286.14,53.95,2232.19,2024-01-24,Payment for SwiftPay Inc - order_TVZKHIUIT7M1,captured,card,clean
pay_snwywrratatj9a,RAZORPAY7280801006231203,1842.74,43.49,1799.25,2024-01-13,Payment for CloudBiz - order_3Y36DDFGS3JO,captured,card,clean
pay_9967i6yuj7yktx,RAZORPAY1016668700217659,2095.95,49.46,2046.49,2024-01-29,Payment for Sunrise Traders - order_G4AHF337KUU4,captured,card,clean
pay_itngvn1kicjn2f,RAZORPAY5016315999650477,16271.8,384.01,15887.79,2024-01-12,Payment for TechSolutions Ltd - order_OMD7Q1DDPUSD,captured,netbanking,clean
pay_pprcjiwvhdk8lw,RAZORPAY1839826224447212,1061.33,25.05,1036.28,2024-01-10,Payment for CloudBiz - order_2LM349EL8HL8,captured,card,clean
pay_wixz2c9ros7yt2,RAZORPAY1939828073741672,214679.51,5066.44,209613.07,2024-01-25,Payment for PrimeServices - order_M6TWD1XMXB9Y,captured,upi,clean
pay_o8e7flqhrrpzlk,RAZORPAY8993756798250714,1905.1,44.96,1860.14,2024-01-26,Payment for Fusion Foods - order_3E4XYF9IGFU8,captured,card,clean
pay_heyr8lnoemqgy2,RAZORPAY3796603341918255,22778.18,537.57,22240.61,2024-01-21,Payment for SwiftPay Inc - order_7VYLIENFNVUP,captured,card,clean
pay_gu2hbik2u1rsuj,RAZORPAY9050723688767677,2128.67,50.24,2078.43,2024-01-15,Payment for ACME Corp - order_T9T11PHP0XI5,captured,upi,clean
pay_g9ku8s63e1ocjx,RAZORPAY9596292330958498,141364.65,3336.21,138028.44,2024-01-29,Payment for BlueOcean Pvt Ltd - order_ZEFLI4OFWWNC,captured,netbanking,clean
pay_te4261bw4a7fq9,RAZORPAY9017518636374545,15921.22,375.74,15545.48,2024-01-13,Payment for ACME Corp - order_P965K55DMCXX,captured,wallet,clean
pay_d3dnkn35xycuvf,RAZORPAY1293870051627136,651.54,15.38,636.16,2024-01-11,Payment for PrimeServices - order_MH07WPH6FE0M,captured,netbanking,clean
pay_iwc5amln4ptgq9,RAZORPAY9404389836403761,19000.22,448.41,18551.81,2024-01-18,Payment for Sunrise Traders - order_CVAH78OKZ1PO,captured,upi,clean
pay_vl00ezzf8s2zge,RAZORPAY2856914630316179,487927.29,11515.08,476412.21,2024-01-02,Payment for CloudBiz - order_2J51B3JCZUCQ,captured,card,clean
pay_ii6l3ueybisbo5,RAZORPAY1380003075622086,450306.16,10627.23,439678.93,2024-01-25,Payment for BlueOcean Pvt Ltd - order_51LDQNK20IN8,captured,card,clean
pay_76szn9dde3cup8,RAZORPAY0506413836702410,1422.63,33.57,1389.06,2024-01-04,Payment for QuickShop - order_IJL2Z0LJCH2V,captured,wallet,clean
pay_8obk3g84utdd2e,RAZORPAY3747411249035213,29027.45,685.05,28342.4,2024-01-29,Payment for Fusion Foods - order_C2IHOY7DV7C9,captured,upi,clean
pay_5bwikotckeh5sw,RAZORPAY0296670662532447,2364.36,55.8,2308.56,2024-01-01,Payment for Fusion Foods - order_2292MTR6SNGL,captured,wallet,clean
pay_6bz8uug95rlrdi,RAZORPAY1334803965223955,487770.54,11511.38,476259.16,2024-01-05,Payment for GreenLeaf Organics - order_HSA7HEZ74LAV,captured,netbanking,clean
pay_3n0kgazu41ugl3,RAZORPAY9154522675289539,20708.84,488.73,20220.11,2024-01-29,Payment for Apex Commerce - order_WXDRLCMLW83Y,captured,upi,clean
pay_xyfc4kl8cgn0t6,RAZORPAY1006762676586179,12138.23,286.46,11851.77,2024-01-18,Payment for Apex Commerce - order_DVWRB7F6FDHG,captured,netbanking,clean
pay_9re2q6jxnnngbp,RAZORPAY7205061497310324,17615.72,415.73,17199.99,2024-01-27,Payment for PrimeServices - order_J4UFZDY3O1IC,captured,wallet,clean
pay_cyh3fvl03dut4s,RAZORPAY0898992172233206,4671.26,110.24,4561.02,2024-01-04,Payment for BlueOcean Pvt Ltd - order_7AZV2EFUU8DD,captured,netbanking,clean
pay_76a3kkrzd5e9p3,RAZORPAY9702462996065307,15853.58,374.14,15479.44,2024-01-23,Payment for Smart Retail - order_JPXGH30153SF,captured,upi,clean
pay_g5vmf60yknfu84,RAZORPAY7053457861035797,147260.42,3475.35,143785.07,2024-01-20,Payment for Smart Retail - order_XYJOA21A6XVA,captured,wallet,clean
pay_c9x5jz6kf1622v,RAZORPAY4896910858994417,8500.75,200.62,8300.13,2024-01-23,Payment for Apex Commerce - order_XYZX9JPNBZUG,captured,wallet,clean
pay_p5nvqebwuwqhey,RAZORPAY2824172482513534,10755.36,253.83,10501.53,2024-01-16,Payment for TechSolutions Ltd - order_TO5F9M969F5G,captured,netbanking,clean
pay_hnal3gywiymenv,RAZORPAY2927129666676008,8258.02,194.89,8063.13,2024-01-06,Payment for Fusion Foods - order_G3KK0VM59M6M,captured,card,clean
pay_pntrfzwkxxjve3,RAZORPAY8215064890901001,201.5,4.76,196.74,2024-01-18,Payment for ACME Corp - order_DZEEDHHJSHZK,captured,wallet,clean
pay_354mype46aexl6,RAZORPAY1972181143744701,359.16,8.48,350.68,2024-01-26,Payment for GreenLeaf Organics - order_8J0NMEOQ4YRP,captured,card,clean
pay_5pcxa5s00i85sy,RAZORPAY1697972965902771,426844.43,10073.53,416770.9,2024-01-28,Payment for DigiMart - order_WP0RXXF36WA7,captured,card,clean
pay_l90aobt328w6ux,RAZORPAY4083866317797177,927.6,21.89,905.71,2024-01-08,Payment for Sunrise Traders - order_QM334L1VZNQD,captured,netbanking,clean
pay_zdo74v1qx8ertb,RAZORPAY1027261493316373,12781.98,301.65,12480.33,2024-01-29,Payment for DigiMart - order_74RS7GU0ENV5,captured,card,clean
pay_9x8sylemruyp04,RAZORPAY2269848583339452,242837.48,5730.96,237106.52,2024-01-02,Payment for FastTrack Logistics - order_K43SAFYH1FKJ,captured,upi,clean
pay_h54piwznv0h0gq,RAZORPAY8386384066658004,2189.88,51.68,2138.2,2024-01-05,Payment for GreenLeaf Organics - order_9C80EBKJF4AQ,captured,netbanking,clean
pay_om5xlk8wru1xem,RAZORPAY7985158328182688,20701.98,488.57,20213.41,2024-01-27,Payment for DigiMart - order_IX7IB5N2EJ0A,captured,wallet,clean
pay_0fqldb2uuijnwp,RAZORPAY8112880133613861,120480.82,2843.35,117637.47,2024-01-20,Payment for Smart Retail - order_AYTXW1VZC7D2,captured,wallet,clean
pay_vt8k06moxsfh4g,RAZORPAY3268424508821009,517.36,12.21,505.15,2024-01-11,Payment for SwiftPay Inc - order_G24479QTKCD0,captured,card,clean
pay_2zxjmylrq1rdxc,RAZORPAY7759492995562053,604.72,14.27,590.45,2024-01-19,Payment for BlueOcean Pvt Ltd - order_K36H0W064W3U,captured,netbanking,clean
pay_y1ffuu5f07b1ij,RAZORPAY5639427881658039,23817.92,562.1,23255.82,2024-01-27,Payment for Smart Retail - order_IYS2N75BXD8W,captured,card,clean
pay_fcxhgnzei3zrrh,RAZORPAY1846386557790827,20466.76,483.02,19983.74,2024-01-20,Payment for PrimeServices - order_F4ABUFWBUCJG,captured,upi,clean
pay_indh4spfdrwb2s,RAZORPAY2369292984257991,437632.13,10328.12,427304.01,2024-01-26,Payment for Fusion Foods - order_EREV361XSNBT,captured,netbanking,clean
pay_ueaxylnfxj4pnj,RAZORPAY9162473149864300,423479.54,9994.12,413485.42,2024-01-28,Payment for FastTrack Logistics - order_Y1O2RNTJLMZ0,captured,wallet,clean
pay_nv07oxk8c1gra4,RAZORPAY5890260127961143,1344.61,31.73,1312.88,2024-01-25,Payment for Smart Retail - order_7SH2SZWYMX9D,captured,wallet,clean
pay_jodck82853uy8u,RAZORPAY1184895543937690,22765.45,537.26,22228.19,2024-01-26,Payment for Fusion Foods - order_118QQVAECW9Y,captured,netbanking,clean
pay_0iiji44m2ec8ra,RAZORPAY4165182755394237,9742.12,229.91,9512.21,2024-01-08,Payment for PrimeServices - order_484NL65UJG1S,captured,wallet,clean
pay_gjj8mgpp1noqu9,RAZORPAY2718750036915594,966.13,22.8,943.33,2024-01-29,Payment for QuickShop - order_Y3Z2T4H20RAP,captured,netbanking,clean
pay_omyvuxt9kls1qc,RAZORPAY2034717545588450,382.59,9.03,373.56,2024-01-11,Payment for CloudBiz - order_WQ85X7PWO6CM,captured,wallet,clean
pay_c5tao1cjfx5lik,RAZORPAY9876220234132611,471221.82,11120.83,460100.99,2024-01-18,Payment for Apex Commerce - order_WE4BX4LR9TJQ,captured,wallet,clean
pay_s1ektyr1k12v2t,RAZORPAY8457831745642400,234439.36,5532.77,228906.59,2024-01-26,Payment for NextGen Solutions - order_G5PIZX3HCWS2,captured,netbanking,clean
pay_jz0ifrml29q2l4,RAZORPAY7974973502080214,830.55,19.6,810.95,2024-01-15,Payment for BlueOcean Pvt Ltd - order_8C1CQG433E1I,captured,card,clean
pay_9ipa2voi8uyyf1,RAZORPAY7645208814743503,29508.19,696.39,28811.8,2024-01-18,Payment for CloudBiz - order_IRYM81CMFTDR,captured,card,clean
pay_6tcfkjnawnga41,RAZORPAY0778487392855749,6205.13,146.44,6058.69,2024-01-22,Payment for DigiMart - order_IZXTNSRTWLXD,captured,card,clean
pay_x73qxm0632cwt0,RAZORPAY1096789940539103,1290.62,30.46,1260.16,2024-01-14,Payment for DigiMart - order_4CHSDINGXU8U,captured,netbanking,clean
pay_1p0vuh17j8qo09,RAZORPAY2286852897558556,26777.66,631.95,26145.71,2024-01-19,Payment for DigiMart - order_VS9KKH4A3YJT,captured,upi,clean
pay_3dxb3n27m5p7e1,RAZORPAY9334419693157279,1012.64,23.9,988.74,2024-01-24,Payment for Sunrise Traders - order_047WWBSLULZF,captured,upi,clean
pay_houu9sijpyueon,RAZORPAY5179086416862278,99565.83,2349.75,97216.08,2024-01-12,Payment for Sunrise Traders - order_GMX1GM32WP7I,captured,upi,clean
pay_tw9zyn6sjchzjq,RAZORPAY4051477053833884,465562.96,10987.29,454575.67,2024-01-04,Payment for Apex Commerce - order_8CXX6MDK5N9S,captured,upi,clean
pay_jcjn9978imoe0s,RAZORPAY0038457620555438,293523.14,6927.15,286595.99,2024-01-26,Payment for Sunrise Traders - order_Y5YPUPLVQEXU,captured,netbanking,clean
pay_p767j2dg1wjuii,RAZORPAY2925188125205664,232130.22,5478.27,226651.95,2024-01-14,Payment for ACME Corp - order_YMYRSVZN4REG,captured,wallet,clean
pay_7utxzbdq55it9b,RAZORPAY1279757366096569,386155.0,9113.26,377041.74,2024-01-05,Payment for GreenLeaf Organics - order_N18GP51KFK7Y,captured,upi,clean
pay_zeeqnsn2s8nn16,RAZORPAY8266570279371452,1525.8,36.01,1489.79,2024-01-07,Payment for QuickShop - order_UXF5GZPL1QWE,captured,netbanking,clean
pay_kw3hgbmfbuvldd,RAZORPAY0973397767199038,285445.55,6736.51,278709.04,2024-01-12,Payment for CloudBiz - order_9FKXZUU80MB1,captured,wallet,clean
pay_p4juw7wr0r35ik,RAZORPAY4586833901981794,466.18,11.0,455.18,2024-01-07,Payment for Sunrise Traders - order_GEQ20HWOBM3H,captured,upi,clean
pay_fq56q37csuytau,RAZORPAY1556990235577027,23593.4,556.8,23036.6,2024-01-28,Payment for TechSolutions Ltd - order_L62CF4MNTFVG,captured,upi,clean
pay_fmr5ll1d9s9hbn,RAZORPAY7438421503178078,9035.16,213.23,8821.93,2024-01-10,Payment for BlueOcean Pvt Ltd - order_5ELB45L6D10A,captured,card,clean
pay_j72ugl6tbb6bnd,RAZORPAY1422410988138585,23751.65,560.54,23191.11,2024-01-25,Payment for GreenLeaf Organics - order_OZ6WYQMLH13C,captured,card,clean
pay_rmqg1ved32lx2t,RAZORPAY7733294562557701,15028.56,354.67,14673.89,2024-01-23,Payment for DigiMart - order_OOWT9NM3V2P2,captured,upi,clean
pay_rxd356wafftouh,RAZORPAY9975817246191965,15882.33,374.82,15507.51,2024-01-28,Payment for PrimeServices - order_YLU6K7P9MDA9,captured,upi,clean
pay_xrgn74f9yecazr,RAZORPAY8514036965666683,30396.36,717.35,29679.01,2024-01-13,Payment for SwiftPay Inc - order_P9DXOQ2VPGST,captured,card,clean
pay_f0992qc6dr08cw,RAZORPAY3846895009751971,25787.11,608.58,25178.53,2024-01-06,Payment for Smart Retail - order_2LBM2QSQ0P82,captured,netbanking,clean
pay_wjj0v60xng2igs,RAZORPAY9290490471281442,1628.86,38.44,1590.42,2024-01-24,Payment for NextGen Solutions - order_B98V341ONX0G,captured,netbanking,clean
pay_y8yb7w8p74mjdx,RAZORPAY7478366742860476,1240.44,29.27,1211.17,2024-01-14,Payment for ACME Corp - order_O100VHMYGTY3,captured,upi,clean
pay_2gdgkxcq91yy1j,RAZORPAY3009109391119269,815.75,19.25,796.5,2024-01-16,Payment for Sunrise Traders - order_2JCN9J3GC9HO,captured,wallet,clean
pay_z6us7rp422ta83,RAZORPAY4101194707200642,1187.72,28.03,1159.69,2024-01-25,Payment for SwiftPay Inc - order_RU7MYOW8DT8C,captured,card,clean
pay_2xr838ammzohxs,RAZORPAY6157173203093761,10718.93,252.97,10465.96,2024-01-05,Payment for Sunrise Traders - order_75T0IC0RA6WI,captured,upi,clean
pay_tl8hbgcj1gnfiu,RAZORPAY9111799313656519,7193.96,169.78,7024.18,2024-01-26,Payment for Apex Commerce - order_E2WNF5CA7ZVK,captured,card,clean
pay_99w59sqwhbef46,RAZORPAY2909279145608331,13830.86,326.41,13504.45,2024-01-06,Payment for DigiMart - order_RF7BNHJW6QDB,captured,wallet,clean
pay_cvbphvgnqgmjmb,RAZORPAY9956353153136363,369059.45,8709.8,360349.65,2024-01-18,Payment for NextGen Solutions - order_UKDQP1HKF286,captured,wallet,clean
pay_9bq1btr23qiua0,RAZORPAY7740633569392906,131728.02,3108.78,128619.24,2024-01-05,Payment for BlueOcean Pvt Ltd - order_8EKXDRKZ40AQ,captured,netbanking,clean
pay_s6nbnqbnxzu1em,RAZORPAY1658046498931950,26160.52,617.39,25543.13,2024-01-03,Payment for ACME Corp - order_TX015Z11L6SP,captured,wallet,clean
pay_feffh8aoy7rp0a,RAZORPAY8847951371162411,250977.01,5923.06,245053.95,2024-01-15,Payment for DigiMart - order_GA24SMUX2RXT,captured,card,clean
pay_fe9upnhzx9fq9t,RAZORPAY7540254729284222,761.02,17.96,743.06,2024-01-10,Payment for GreenLeaf Organics - order_EA7187F8TSXK,captured,wallet,clean
pay_s21hd4y89orvsc,RAZORPAY2814069375150939,27254.8,643.21,26611.59,2024-01-14,Payment for Apex Commerce - order_YOZPNAMLQUH5,captured,card,clean
pay_ouz1egntb34kuq,RAZORPAY9912347851961064,13890.33,327.81,13562.52,2024-01-25,Payment for TechSolutions Ltd - order_AAJ84RX6PRYI,captured,upi,clean
pay_fjp6mkt7s1gd1t,RAZORPAY4715890429025725,18053.3,426.06,17627.24,2024-01-14,Payment for SwiftPay Inc - order_53YKYYDU3ASN,captured,upi,clean
pay_fp9s8gk0eeyylh,RAZORPAY8988816711207545,592.78,13.99,578.79,2024-01-09,Payment for GreenLeaf Organics - order_9P1EARPHBXVQ,captured,netbanking,clean
pay_sc31tz8g1a0774,RAZORPAY3932501249552893,462446.09,10913.73,451532.36,2024-01-04,Payment for SwiftPay Inc - order_RZGYD49PSO1L,captured,netbanking,clean
pay_7nayyosyeoz906,RAZORPAY7164794738646317,4761.82,112.38,4649.44,2024-01-26,Payment for BlueOcean Pvt Ltd - order_GNHH4OIPR11V,captured,wallet,clean
pay_nyfwdc112hxrjm,RAZORPAY2711477320101702,270364.82,6380.61,263984.21,2024-01-25,Payment for FastTrack Logistics - order_4T8BP6NLNQBU,captured,wallet,clean
pay_8wm9lbb4m0a6md,RAZORPAY1978897782806479,15905.01,375.36,15529.65,2024-01-02,Payment for CloudBiz - order_MMMXIXV6CKMA,captured,wallet,clean
pay_k8hw9c4hjku2w8,RAZORPAY5696591713578529,3111.5,73.43,3038.07,2024-01-18,Payment for Sunrise Traders - order_ZUVJUTPMC3SK,captured,wallet,clean
pay_hqi014o46w4jkf,RAZORPAY8208297374896908,20967.91,494.84,20473.07,2024-01-05,Payment for Smart Retail - order_YIIFA2LR9P6H,captured,netbanking,clean
pay_07s387j5ie3lvo,RAZORPAY7001594165162319,3661.39,86.41,3574.98,2024-01-18,Payment for CloudBiz - order_0IPFG8PJVRN8,captured,card,clean
pay_a877k71k4fpl3x,RAZORPAY4090034864518376,22180.96,523.47,21657.49,2024-01-17,Payment for Smart Retail - order_2JC2R07LP7DF,captured,wallet,clean
pay_z1xevo7q5egvlk,RAZORPAY0027206345911238,14964.7,353.17,14611.53,2024-01-07,Payment for SwiftPay Inc - order_DNON4UAAUWID,captured,upi,clean
pay_nphh30gg2b9iqi,RAZORPAY5291086771333447,6604.41,155.86,6448.55,2024-01-02,Payment for DigiMart - order_UXDQ59OHNPVC,captured,card,clean
pay_grmqdzpjl9r9km,RAZORPAY9004896465280924,471481.31,11126.96,460354.35,2024-01-22,Payment for GreenLeaf Organics - order_P6J37SPF0R8U,captured,card,clean
pay_d5ggsj6vv8suoc,RAZORPAY2761707587771215,1255.08,29.62,1225.46,2024-01-23,Payment for FastTrack Logistics - order_1Y5AYYOV84FC,captured,netbanking,clean
pay_ji1oahnox8fk20,RAZORPAY9759230450189616,253.04,5.97,247.07,2024-01-26,Payment for PrimeServices - order_76VMDNHQNJVD,captured,card,clean
pay_4skbcbdpdxujjc,RAZORPAY7327881476174224,1356.35,32.01,1324.34,2024-01-26,Payment for NextGen Solutions - order_SEXGGOC5KVQY,captured,card,clean
pay_3wy8y2deg3zgar,RAZORPAY1680061027769749,19111.45,451.03,18660.42,2024-01-16,Payment for SwiftPay Inc - order_FI44TD1FPE60,captured,wallet,clean
pay_s0765icautjx6e,RAZORPAY6050166799840767,2099.21,49.54,2049.67,2024-01-27,Payment for FastTrack Logistics - order_WXQPF0QPSVY7,captured,netbanking,clean
pay_7riu9mjyg4s3me,RAZORPAY5729341722329716,421547.95,9948.53,411599.42,2024-01-23,Payment for TechSolutions Ltd - order_IUR9211U645V,captured,wallet,clean
pay_fn3eh81a4rkgjz,RAZORPAY9180812135247871,397376.63,9378.09,387998.54,2024-01-12,Payment for Sunrise Traders - order_OWI1T2EP768S,captured,card,clean
pay_5z5zlm36vfox5w,RAZORPAY1556260602908466,473512.13,11174.89,462337.24,2024-01-18,Payment for DigiMart - order_WPM3X15DTOZ5,captured,upi,clean
pay_e17quami0uz7x4,RAZORPAY2008943468105485,23318.77,550.32,22768.45,2024-01-04,Payment for SwiftPay Inc - order_IKY3UFN0DSG2,captured,wallet,clean
pay_0pfsrq8stzqbfu,RAZORPAY3715869886497677,6076.74,143.41,5933.33,2024-01-05,Payment for QuickShop - order_7E4DNKSEKNKB,captured,netbanking,clean
pay_eew1yf0dwwn6mb,RAZORPAY0185106794975679,1888.2,44.56,1843.64,2024-01-18,Payment for NextGen Solutions - order_YPJDFAW1LXXD,captured,card,clean
pay_5apo4ljedgfjdl,RAZORPAY8204339718956907,86533.09,2042.18,84490.91,2024-01-02,Payment for TechSolutions Ltd - order_OGWLACOLOLN3,captured,card,clean
pay_1xeuq4s2ftgi88,RAZORPAY0578617063048913,5664.74,133.69,5531.05,2024-01-27,Payment for CloudBiz - order_TB38WXGC7JJY,captured,netbanking,clean
pay_xlh8l6e7vaaguz,RAZORPAY1612846398554743,4423.22,104.39,4318.83,2024-01-12,Payment for NextGen Solutions - order_ROC5XT63QE8N,captured,upi,clean
pay_hh3o5urtxuyuce,RAZORPAY3045319433750479,238951.5,5639.26,233312.24,2024-01-29,Payment for DigiMart - order_CJUIS2GY9YTJ,captured,wallet,clean
pay_lom539iy87hlcw,RAZORPAY6641877580304687,2356.08,55.6,2300.48,2024-01-03,Payment for Fusion Foods - order_BPA274IR833S,captured,wallet,clean
pay_4owo52wqqpwdxy,RAZORPAY6512070496110804,460855.76,10876.2,449979.56,2024-01-24,Payment for SwiftPay Inc - order_ASVDAZV46ESM,captured,card,clean
