bank_ref,utr,credit_amount,date,description,balance
SBIN20240106C0121,RAZORPAY2909279145608331,13504.45,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY2909279145608331,5197546.8
SBIN20240118C0122,RAZORPAY9956353153136363,360349.65,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY9956353153136363,8584040.26
HDFC20240106C0123,RAZORPAY7740633569392906,128619.24,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY7740633569392906,6305428.47
ICICI20240104C0124,RAZORPAY1658046498931950,25543.13,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY1658046498931950,4913646.36
ICICI20240116C0125,RAZORPAY8847951371162411,245053.95,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY8847951371162411,8992991.04
KOTAK20240110C0126,RAZORPAY7540254729284222,743.06,2024-01-10,RAZORPAY SETTLEMENT RAZORPAY7540254729284222,3452975.86
ICICI20240115C0127,RAZORPAY2814069375150939,26611.59,2024-01-15,RAZORPAY SETTLEMENT RAZORPAY2814069375150939,8076160.57
AXIS20240126C0128,RAZORPAY9912347851961064,13562.52,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY9912347851961064,6029024.1
HDFC20240115C0129,RAZORPAY4715890429025725,17627.24,2024-01-15,RAZORPAY SETTLEMENT RAZORPAY4715890429025725,2256974.5
SBIN20240109C0130,RAZORPAY8988816711207545,578.79,2024-01-09,RAZORPAY SETTLEMENT RAZORPAY8988816711207545,6709105.59
AXIS20240104C0131,RAZORPAY3932501249552893,451532.36,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY3932501249552893,7076836.06
ICICI20240127C0132,RAZORPAY7164794738646317,4649.44,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY7164794738646317,6700102.4
HDFC20240126C0133,RAZORPAY2711477320101702,263984.21,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY2711477320101702,4363743.07
AXIS20240103C0134,RAZORPAY1978897782806479,15529.65,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY1978897782806479,2739526.96
HDFC20240119C0135,RAZORPAY5696591713578529,3038.07,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY5696591713578529,4082779.46
ICICI20240105C0136,RAZORPAY8208297374896908,20473.07,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY8208297374896908,6620840.06
AXIS20240119C0137,RAZORPAY7001594165162319,3574.98,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY7001594165162319,9636821.87
ICICI20240117C0138,RAZORPAY4090034864518376,21657.49,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY4090034864518376,6060947.83
HDFC20240108C0139,RAZORPAY0027206345911238,14611.53,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY0027206345911238,4070245.62
ICICI20240102C0140,RAZORPAY5291086771333447,6448.55,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY5291086771333447,4762230.99
SBIN20240123C0141,RAZORPAY9004896465280924,460354.35,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY9004896465280924,1571345.99
AXIS20240124C0142,RAZORPAY2761707587771215,1225.46,2024-01-24,RAZORPAY SETTLEMENT RAZORPAY2761707587771215,5982622.17
KOTAK20240127C0143,RAZORPAY9759230450189616,247.07,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY9759230450189616,4397648.63
ICICI20240127C0144,RAZORPAY7327881476174224,1324.34,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY7327881476174224,2189576.87
SBIN20240117C0145,RAZORPAY1680061027769749,18660.42,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY1680061027769749,5893740.07
HDFC20240128C0146,RAZORPAY6050166799840767,2049.67,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY6050166799840767,7257650.53
AXIS20240123C0147,RAZORPAY5729341722329716,411599.42,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY5729341722329716,9630206.38
AXIS20240112C0148,RAZORPAY9180812135247871,387998.54,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY9180812135247871,7724503.42
HDFC20240119C0149,RAZORPAY1556260602908466,462337.24,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY1556260602908466,5165548.91
AXIS20240104C0150,RAZORPAY2008943468105485,22768.45,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY2008943468105485,911276.92
SBIN20240106C0151,RAZORPAY3715869886497677,5933.33,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY3715869886497677,8901666.34
KOTAK20240118C0152,RAZORPAY0185106794975679,1843.64,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY0185106794975679,7530529.88
HDFC20240102C0153,RAZORPAY8204339718956907,84490.91,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY8204339718956907,4980496.46
KOTAK20240127C0154,RAZORPAY0578617063048913,5531.05,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY0578617063048913,550298.83
HDFC20240113C0155,RAZORPAY1612846398554743,4318.83,2024-01-13,RAZORPAY SETTLEMENT RAZORPAY1612846398554743,1335162.26
SBIN20240130C0156,RAZORPAY3045319433750479,233312.24,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY3045319433750479,6445566.23
SBIN20240104C0157,RAZORPAY6641877580304687,2300.48,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY6641877580304687,5831451.25
HDFC20240125C0158,RAZORPAY6512070496110804,449979.56,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY6512070496110804,1462959.79
HDFC20240121C0159,RAZORPAY6854982274954508,861.59,2024-01-21,RAZORPAY SETTLEMENT RAZORPAY6854982274954508,6276808.17
SBIN20240121C0160,RAZORPAY5636205015081247,23071.92,2024-01-21,RAZORPAY SETTLEMENT RAZORPAY5636205015081247,1529879.23
AXIS20240108C0161,RAZORPAY6559630993842530,117256.08,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY6559630993842530,4019409.76
KOTAK20240107C0162,RAZORPAY2548121478539078,12566.05,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY2548121478539078,184485.4
HDFC20240102C0163,RAZORPAY6690782633373898,941.83,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY6690782633373898,5725089.76
HDFC20240128C0164,RAZORPAY6636186371597412,292649.55,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY6636186371597412,5916170.34
AXIS20240129C0165,RAZORPAY3027169385977790,14764.44,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY3027169385977790,9924658.25
SBIN20240106C0166,RAZORPAY1856724380701765,992.53,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY1856724380701765,4476375.62
ICICI20240108C0167,RAZORPAY1647090063353310,401701.27,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY1647090063353310,534995.53
KOTAK20240111C0168,RAZORPAY7189241956252571,23050.35,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY7189241956252571,6515659.61
AXIS20240117C0169,RAZORPAY5533803396852701,134386.53,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY5533803396852701,7627212.2
ICICI20240118C0170,RAZORPAY1498282467474689,1021.65,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY1498282467474689,6543972.71
AXIS20240101C0171,RAZORPAY0502497243992011,8948.41,2024-01-01,RAZORPAY SETTLEMENT RAZORPAY0502497243992011,1059019.55
AXIS20240121C0172,RAZORPAY4622522372817932,13633.63,2024-01-21,RAZORPAY SETTLEMENT RAZORPAY4622522372817932,7593425.22
AXIS20240116C0173,RAZORPAY5535669055107620,12396.95,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY5535669055107620,6111020.71
KOTAK20240125C0174,RAZORPAY9802714872717833,1339.75,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY9802714872717833,8103630.07
HDFC20240110C0175,RAZORPAY1159319525690409,814.11,2024-01-10,RAZORPAY SETTLEMENT RAZORPAY1159319525690409,2985801.54
AXIS20240126C0176,RAZORPAY2330276420865675,2005.52,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY2330276420865675,6826508.13
ICICI20240124C0177,RAZORPAY7201859626301367,73369.07,2024-01-24,RAZORPAY SETTLEMENT RAZORPAY7201859626301367,1084468.43
KOTAK20240112C0178,RAZORPAY8260688871898131,25592.22,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY8260688871898131,6910510.06
SBIN20240123C0179,RAZORPAY3243298395429618,138099.25,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY3243298395429618,6437757.14
KOTAK20240125C0180,RAZORPAY2340163611284971,386354.99,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY2340163611284971,7097188.95
KOTAK20240129C0181,RAZORPAY7844683414651113,11946.29,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY7844683414651113,9650009.1
SBIN20240116C0182,RAZORPAY3215285067625153,379764.83,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY3215285067625153,4166118.62
HDFC20240104C0183,RAZORPAY4376545628417722,1911.99,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY4376545628417722,3506793.45
ICICI20240108C0184,RAZORPAY5690674471639282,137826.01,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY5690674471639282,4844032.85
HDFC20240127C0185,RAZORPAY1454563502000534,3828.01,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY1454563502000534,9262456.33
KOTAK20240119C0186,RAZORPAY4738202368485571,313360.81,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY4738202368485571,5087795.87
AXIS20240119C0187,RAZORPAY3448123083402424,10587.87,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY3448123083402424,8713255.31
HDFC20240130C0188,RAZORPAY7354396273652717,7976.57,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY7354396273652717,7724164.5
SBIN20240121C0189,RAZORPAY0018513279724572,1586.02,2024-01-21,RAZORPAY SETTLEMENT RAZORPAY0018513279724572,9240864.11
AXIS20240105C0190,RAZORPAY2685926249451475,306704.82,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY2685926249451475,5538458.68
SBIN20240128C0191,RAZORPAY3619689313503058,16738.47,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY3619689313503058,3715917.76
AXIS20240124C0192,RAZORPAY6227284765704120,175.09,2024-01-24,RAZORPAY SETTLEMENT RAZORPAY6227284765704120,6561729.53
